CompanyName,ASXCode,GICS
"1-PAGE LIMITED",1PG,"Software & Services"
"1300 SMILES LIMITED",ONT,"Health Care Equipment & Services"
"1ST AVAILABLE LTD",1ST,"Health Care Equipment & Services"
"360 CAPITAL GROUP",TGP,"Real Estate"
"360 CAPITAL INDUSTRIAL FUND",TIX,"Real Estate"
"360 CAPITAL OFFICE FUND",TOF,"Real Estate"
"360 CAPITAL TOTAL RETURN FUND",TOT,"Not Applic"
"3D OIL LIMITED",TDO,"Energy"
"3D RESOURCES LIMITED",DDD,"Materials"
"3P LEARNING LIMITED..",3PL,"Consumer Services"
"4DS MEMORY LIMITED",4DS,"Semiconductors & Semiconductor Equipment"
"88 ENERGY LIMITED",88E,"Energy"
"8COMMON LIMITED",8CO,"Software & Services"
"8I HOLDINGS LTD",8IH,"Diversified Financials"
"8IP EMERGING COMPANIES LIMITED",8EC,"Not Applic"
"9 SPOKES INTERNATIONAL LIMITED",9SP,"Software & Services"
"99 WUXIAN LIMITED",NNW,"Retailing"
"A-CAP RESOURCES LIMITED",ACB,"Energy"
"A1 CONSOLIDATED GOLD LIMITED",AYC,"Materials"
"A1 INVESTMENTS & RESOURCES LTD",AYI,"Diversified Financials"
"ABACUS PROPERTY GROUP",ABP,"Real Estate"
"ABERDEEN LEADERS LIMITED",ALR,"Diversified Financials"
"ABILENE OIL AND GAS LIMITED",ABL,"Energy"
"ABM RESOURCES NL",ABU,"Materials"
"ABSOLUTE EQUITY PERFORMANCE FUND LIMITED",AEG,"Not Applic"
"ABUNDANT PRODUCE LIMITED",ABT,"Food, Beverage & Tobacco"
"ACACIA COAL LIMITED",AJC,"Energy"
"ACADEMIES AUSTRALASIA GROUP LIMITED",AKG,"Consumer Services"
"ACCENT RESOURCES NL",ACS,"Materials"
"ACONEX LIMITED",ACX,"Software & Services"
"ACORN CAPITAL INVESTMENT FUND LIMITED",ACQ,"Not Applic"
"ACRUX LIMITED",ACR,"Pharmaceuticals & Biotechnology"
"ACTINOGEN MEDICAL LIMITED",ACW,"Pharmaceuticals & Biotechnology"
"ACTIVEX LIMITED",AIV,"Materials"
"ACTIVISTIC LIMITED",ACU,"Software & Services"
